time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Qualified Strategy,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1738533600,1.02454,1.02574,1.02428,1.0255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738534500,1.02558,1.02572,1.02494,1.02512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738535400,1.02512,1.02541,1.02466,1.02534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738536300,1.02533,1.02577,1.02488,1.02508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738537200,1.02508,1.02702,1.02347,1.02484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738538100,1.02482,1.02575,1.02349,1.0241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738539000,1.02412,1.02543,1.02362,1.02478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738539900,1.02479,1.02579,1.02448,1.02471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738540800,1.02468,1.02674,1.02434,1.0257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738541700,1.02569,1.0258,1.02105,1.02368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738542600,1.0237,1.0244,1.02265,1.02288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738543500,1.02288,1.02394,1.022,1.02321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738544400,1.0232,1.02386,1.0222,1.0235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738545300,1.02351,1.02522,1.02334,1.02482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
1738546200,1.02482,1.02524,1.02416,1.02467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,45.11189634864489,NaN,NaN,NaN,45.11189634864489,NaN
1738547100,1.02468,1.02472,1.02361,1.02378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,40.535699747617926,NaN,NaN,NaN,NaN,NaN
1738548000,1.02378,1.0238,1.0223,1.02292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,36.66525051689463,NaN,NaN,NaN,NaN,NaN
1738548900,1.02292,1.02353,1.02268,1.02315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,38.36036041384707,NaN,NaN,NaN,NaN,NaN
1738549800,1.02317,1.02317,1.0224,1.02276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,36.5728991252622,NaN,NaN,NaN,NaN,NaN
1738550700,1.02276,1.02304,1.02208,1.02236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,34.78271574339688,NaN,NaN,NaN,NaN,NaN
1738551600,1.02237,1.0225,1.02154,1.02154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,31.39056030066716,NaN,31.39056030066716,NaN,NaN,NaN
1738552500,1.02154,1.02202,1.02152,1.02193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,34.65465214166075,NaN,NaN,NaN,NaN,NaN
1738553400,1.02194,1.022,1.02123,1.0215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,32.80170331551382,NaN,NaN,NaN,NaN,NaN
1738554300,1.02152,1.02242,1.02143,1.02216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,38.25851672330666,NaN,NaN,NaN,NaN,NaN
1738555200,1.02216,1.024,1.02207,1.02318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,45.609490677719194,NaN,NaN,NaN,NaN,NaN
1738556100,1.02319,1.02319,1.02222,1.0224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,41.5368123971832,NaN,NaN,NaN,NaN,NaN
1738557000,1.0224,1.02273,1.0222,1.0224,1.0227538242022303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0227236977981438,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,41.5368123971832,NaN,NaN,NaN,NaN,NaN
1738557900,1.0224,1.02283,1.02216,1.02268,1.0227003906920231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0226832512652138,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,43.63231347273419,NaN,NaN,NaN,NaN,NaN
1738558800,1.0227,1.02358,1.02259,1.02344,1.0227166217988306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0227235356470203,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,48.977995899833665,NaN,NaN,NaN,NaN,NaN
1738559700,1.02345,1.024,1.02338,1.02388,1.0227920318842347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.022812231910969,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,51.826426081986966,NaN,NaN,NaN,NaN,NaN
1738560600,1.02388,1.02412,1.02363,1.02368,1.0228785514148218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02288857723831,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,50.44778204956836,NaN,NaN,NaN,NaN,NaN
1738561500,1.02367,1.02436,1.02362,1.02405,1.0229865514528365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0230014084120844,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,52.941761999722715,NaN,NaN,NaN,NaN,NaN
1738562400,1.02404,1.02483,1.02396,1.02478,1.0231423042908205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0231812894924277,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,57.48795317262383,NaN,NaN,NaN,57.48795317262383,NaN
1738563300,1.02478,1.02494,1.02441,1.02463,1.023307250460957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0233428706470553,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,56.28470419100455,NaN,NaN,NaN,NaN,NaN
1738564200,1.02462,1.02517,1.02452,1.02477,1.0234803418307525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0235106923682107,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,57.1854281643392,NaN,NaN,NaN,NaN,NaN
1738565100,1.0248,1.02512,1.02416,1.02432,1.023618075577808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0236271647671515,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,53.37834334461874,NaN,NaN,NaN,NaN,NaN
1738566000,1.02433,1.02496,1.0234,1.02436,1.023721381202504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0237393331308084,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,53.6735785139089,NaN,NaN,NaN,NaN,NaN
1738566900,1.02436,1.02446,1.02276,1.0233,1.023746292223869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0237440605706845,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,45.458270436827156,NaN,NaN,NaN,NaN,NaN
1738567800,1.0233,1.02349,1.0223,1.02289,1.023704224251769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0236996017280455,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,42.73370923235342,NaN,NaN,NaN,NaN,NaN
1738568700,1.0229,1.02418,1.0222,1.0225,1.0236584542970082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0236100042370788,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,40.26174765238533,NaN,NaN,NaN,NaN,NaN
1738569600,1.02252,1.02276,1.02129,1.02238,1.0235295511269706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.023501524095187,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,39.504532364804376,NaN,39.504532364804376,NaN,NaN,NaN
1738570500,1.02232,1.02441,1.0221,1.02432,1.0235303868206864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.023567340249664,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,54.426971294490585,NaN,NaN,NaN,NaN,NaN
1738571400,1.02432,1.02514,1.02374,1.02446,1.023607040889667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0236458246661648,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,55.28418501105448,NaN,NaN,NaN,NaN,NaN
1738572300,1.02444,1.02492,1.02401,1.02435,1.0236821525549002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0237137945134607,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,54.41807368684302,NaN,NaN,NaN,NaN,NaN
1738573200,1.02438,1.02512,1.02413,1.02496,1.023783773167344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.023835003211765,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,58.31789149629639,NaN,NaN,NaN,NaN,NaN
1738574100,1.02496,1.02518,1.02407,1.02513,1.023888696233327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0239693581875806,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,59.36139568683755,NaN,NaN,NaN,59.36139568683755,NaN
1738575000,1.02512,1.02544,1.02412,1.02416,1.0239704284354356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.024011359928932,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,51.447089872936594,NaN,NaN,NaN,NaN,NaN
1738575900,1.02416,1.02416,1.02256,1.02306,1.0239286599778585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0239487338849065,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,44.24328809454604,NaN,44.24328809454604,NaN,NaN,NaN
1738576800,1.02306,1.02416,1.02302,1.02401,1.0239252910442642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0239674587131977,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,50.667890169567215,NaN,NaN,NaN,NaN,NaN
1738577700,1.024,1.02435,1.02324,1.02371,1.0239220040618557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0239557187519532,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,48.75728509411416,NaN,NaN,NaN,NaN,NaN
1738578600,1.02372,1.02415,1.02364,1.02392,1.02392766590384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.023959158210787,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,50.173665053270724,NaN,NaN,NaN,NaN,NaN
1738579500,1.02393,1.02447,1.02393,1.02438,1.0239622190358448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0240010318664174,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,53.22364668260639,NaN,NaN,NaN,NaN,NaN
1738580400,1.02438,1.02498,1.02422,1.02472,1.0240302166834132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0240730998361458,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,55.39689399693304,NaN,NaN,NaN,NaN,NaN
1738581300,1.02471,1.02482,1.02394,1.02395,1.0240593284403778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0240725374027386,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,49.75860330001586,NaN,NaN,NaN,NaN,NaN
1738582200,1.02392,1.02493,1.02364,1.02492,1.024109344619686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0241575750788465,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,55.85421118097262,NaN,NaN,NaN,NaN,NaN
1738583100,1.02492,1.0256,1.02475,1.02524,1.0242195914914691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0242682277625863,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,57.67844241779347,NaN,NaN,NaN,NaN,NaN
