"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"1","2025-06-19 07:16:52 +07","CREATE","","","","","","","","","","","","","","","","","",""
"2","2025-06-19 07:16:52 +07","CLIENT_CONFIGURE","","","","","","","","","","","","","","","","","",""
"3","2025-06-19 07:16:54 +07","TRANSFER_FUNDS","","","","","","","","","","","","","","","","","100000.00","100000.00"
"4","2025-06-19 10:52:50 +07","TRANSFER_FUNDS","","","","","","","","","","","","","","","","","-90000.00","10000.00"
"5","2025-06-20 14:52:59 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","59346.00","Buy","","","","","","","","","","","","",""
"6","2025-06-20 14:52:59 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.34782","59346.00","Buy","4.7477","","","","","0.00000","0.0000","0.0000","","","0.00000","","10000.00"
"7","2025-06-20 14:53:37 +07","MARKET_ORDER","TRADE_CLOSE","GBP/USD","","59346.00","Sell","","","","","","","","","","","","",""
"8","2025-06-20 14:53:37 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","GBP/USD","1.34776","59346.00","Sell","3.5608","","","","","0.00000","0.0000","0.0000","","1.0000","-3.56080","","9996.44"
"9","2025-06-23 08:49:09 +07","MARKET_ORDER_REJECT","CLIENT_ORDER","GBP/USD","","212282.90","","","","","","","","","","","","","",""
"10","2025-06-23 08:49:10 +07","MARKET_ORDER_REJECT","CLIENT_ORDER","GBP/USD","","212282.90","","","","","","","","","","","","","",""
"11","2025-06-23 08:49:12 +07","MARKET_ORDER_REJECT","CLIENT_ORDER","GBP/USD","","212282.90","","","","","","","","","","","","","",""
"12","2025-06-23 10:26:50 +07","MARKET_ORDER_REJECT","CLIENT_ORDER","GBP/USD","","212371.52","","","","","","","","","","","","","",""
"13","2025-06-23 10:26:51 +07","MARKET_ORDER_REJECT","CLIENT_ORDER","GBP/USD","","212371.52","","","","","","","","","","","","","",""
"14","2025-06-23 10:26:53 +07","MARKET_ORDER_REJECT","CLIENT_ORDER","GBP/USD","","212371.52","","","","","","","","","","","","","",""
"15","2025-06-23 17:55:17 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","213016.00","Sell","","","","","","","","","","","","",""
"16","2025-06-23 17:55:17 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"17","2025-06-23 18:27:33 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","213032.00","Sell","","","","","","","","","","","","",""
"18","2025-06-23 18:27:33 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"19","2025-06-23 19:35:16 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","22423.00","Sell","","","","","","","","","","","","",""
"20","2025-06-23 19:35:16 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33762","22423.00","Sell","1.9060","","","","","0.00000","0.0000","0.0000","","","0.00000","","9996.44"
"21","2025-06-23 19:35:40 +07","MARKET_ORDER","TRADE_CLOSE","GBP/USD","","22423.00","Buy","","","","","","","","","","","","",""
"22","2025-06-23 19:35:40 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","GBP/USD","1.33776","22423.00","Buy","1.7938","","","","","0.00000","0.0000","0.0000","","1.0000","-3.13920","","9993.30"
"23","2025-06-25 16:55:01 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","46130.00","Buy","","","","","","","","","","","","",""
"24","2025-06-25 16:55:01 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.64949","46130.00","Buy","1.8452","","","","","0.00000","0.0000","0.0000","","","0.00000","","9993.30"
"25","2025-06-25 16:55:24 +07","MARKET_ORDER","TRADE_CLOSE","AUD/USD","","46130.00","Sell","","","","","","","","","","","","",""
"26","2025-06-25 16:55:24 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","AUD/USD","0.64940","46130.00","Sell","2.3065","","","","","0.00000","0.0000","0.0000","","1.0000","-4.15170","","9989.15"
"27","2025-06-25 18:26:59 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","46169.00","Sell","","","","","","","","","","","","",""
"28","2025-06-25 18:26:59 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.64946","46169.00","Sell","2.0776","","","","","0.00000","0.0000","0.0000","","","0.00000","","9989.15"
"29","2025-06-25 18:46:28 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","46167.00","Sell","","","","","","","","","","","","",""
"30","2025-06-25 18:46:28 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.64950","46167.00","Sell","2.0775","","","","","0.00000","0.0000","0.0000","","","0.00000","","9989.15"
"31","2025-06-25 18:50:42 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","46165.00","Sell","","","","","","","","","","","","",""
"32","2025-06-25 18:50:42 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.64953","46165.00","Sell","2.3082","","","","","0.00000","0.0000","0.0000","","","0.00000","","9989.15"
"33","2025-06-25 19:05:33 +07","MARKET_ORDER","TRADE_CLOSE","AUD/USD","","46165.00","Buy","","","","","","","","","","","","",""
"34","2025-06-25 19:05:33 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","AUD/USD","0.64953","46165.00","Buy","1.6158","","","","","0.00000","0.0000","0.0000","","","0.00000","","9989.15"
"35","2025-06-25 19:05:37 +07","MARKET_ORDER","TRADE_CLOSE","AUD/USD","","46169.00","Buy","","","","","","","","","","","","",""
"36","2025-06-25 19:05:37 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","AUD/USD","0.64953","46169.00","Buy","1.6159","","","","","0.00000","0.0000","0.0000","","1.0000","-3.23180","","9985.92"
"37","2025-06-25 19:05:42 +07","MARKET_ORDER","TRADE_CLOSE","AUD/USD","","46167.00","Buy","","","","","","","","","","","","",""
"38","2025-06-25 19:05:42 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","AUD/USD","0.64952","46167.00","Buy","1.6158","","","","","0.00000","0.0000","0.0000","","1.0000","-0.92330","","9984.99"
"39","2025-06-26 16:00:02 +07","MARKET_ORDER","CLIENT_ORDER","GBP/JPY","","100.00","Buy","","","","","","","","","","","","",""
"40","2025-06-26 16:00:02 +07","ORDER_FILL","MARKET_ORDER","GBP/JPY","197.90000","100.00","Buy","0.0118","","","","","0.00000","0.0000","0.0000","","","0.00000","","9984.99"
"41","2025-06-27 03:10:33 +07","MARKET_ORDER","TRADE_CLOSE","GBP/JPY","","100.00","Sell","","","","","","","","","","","","",""
"42","2025-06-27 03:10:33 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","GBP/JPY","198.23200","100.00","Sell","0.0111","","","","","0.00000","0.0000","0.0000","","0.0069","0.22880","","9985.22"
"43","2025-06-27 06:07:22 +07","MARKET_ORDER","CLIENT_ORDER","NZD/USD","","445858.00","Buy","","","","","","","","","","","","",""
"44","2025-06-27 06:07:22 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"45","2025-06-27 06:44:27 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","174592.00","Sell","","","","","","","","","","","","",""
"46","2025-06-27 06:44:27 +07","ORDER_CANCEL","INSUFFICIENT_MARGIN","","","","","","","","","","","","","","","","",""
"47","2025-06-27 06:56:29 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","109137.00","Sell","","","","","","","","","","","","",""
"48","2025-06-27 06:56:29 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.37257","109137.00","Sell","9.2766","","","","","0.00000","0.0000","0.0000","","","0.00000","","9985.22"
"49","2025-06-27 07:08:40 +07","MARKET_ORDER","TRADE_CLOSE","GBP/USD","","109137.00","Buy","","","","","","","","","","","","",""
"50","2025-06-27 07:08:40 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","GBP/USD","1.37300","109137.00","Buy","10.3680","","","","","0.00000","0.0000","0.0000","","1.0000","-46.92890","","9938.29"
"51","2025-06-27 08:00:01 +07","MARKET_ORDER","CLIENT_ORDER","EUR/JPY","","588.00","Buy","","","","","","","","","","","","",""
"52","2025-06-27 08:00:01 +07","ORDER_FILL","MARKET_ORDER","EUR/JPY","169.13500","588.00","Buy","0.0467","","","","","0.00000","0.0000","0.0000","","","0.00000","","9938.29"
"53","2025-06-27 10:18:17 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","227116.00","Buy","","","","","","","","","","","","",""
"54","2025-06-27 10:18:17 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65596","227116.00","Buy","9.0846","","","","","0.00000","0.0000","0.0000","","","0.00000","","9938.29"
"55","2025-06-27 11:26:43 +07","MARKET_ORDER","TRADE_CLOSE","EUR/JPY","","588.00","Sell","","","","","","","","","","","","",""
"56","2025-06-27 11:26:43 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","EUR/JPY","168.95100","588.00","Sell","0.0631","","","","","0.00000","0.0000","0.0000","","0.0070","-0.75260","","9937.54"
"57","2025-06-27 11:46:47 +07","MARKET_ORDER","TRADE_CLOSE","AUD/USD","","227116.00","Sell","","","","","","","","","","","","",""
"58","2025-06-27 11:46:47 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","AUD/USD","0.65448","227116.00","Sell","10.2202","","","","","0.00000","0.0000","0.0000","","1.0000","-336.13170","","9601.41"
"59","2025-06-27 12:07:14 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","66080.00","Sell","","","","","","","","","","","","",""
"60","2025-06-27 12:07:14 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65425","66080.00","Sell","3.3040","","","","","0.00000","0.0000","0.0000","","","0.00000","","9601.41"
"61","2025-06-27 12:14:30 +07","MARKET_ORDER","TRADE_CLOSE","AUD/USD","","66080.00","Buy","","","","","","","","","","","","",""
"62","2025-06-27 12:14:30 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","AUD/USD","0.65428","66080.00","Buy","2.9736","","","","","0.00000","0.0000","0.0000","","1.0000","-1.98240","","9599.43"
"63","2025-06-27 16:13:30 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","31431.00","Buy","","","","","","","","","","","","",""
"64","2025-06-27 16:13:30 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.37415","31431.00","Buy","2.3573","","","","","0.00000","0.0000","0.0000","","","0.00000","","9599.43"
"65","2025-06-27 16:13:49 +07","MARKET_ORDER","TRADE_CLOSE","GBP/USD","","31431.00","Sell","","","","","","","","","","","","",""
"66","2025-06-27 16:13:49 +07","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","GBP/USD","1.37401","31431.00","Sell","2.5145","","","","","0.00000","0.0000","0.0000","","1.0000","-4.40030","","9595.03"
"67","2025-06-27 17:30:06 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","66153.00","Sell","","","","","","","","","","","","",""
"68","2025-06-27 17:30:06 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65309","66153.00","Sell","2.9769","","","","","0.00000","0.0000","0.0000","","","0.00000","","9595.03"
"69","2025-06-27 18:00:06 +07","MARKET_ORDER","CLIENT_ORDER","USD/CAD","","31597.00","Buy","","","","","","","","","","","","",""
"70","2025-06-27 18:00:06 +07","ORDER_FILL","MARKET_ORDER","USD/CAD","1.36617","31597.00","Buy","1.6191","","","","","0.00000","0.0000","0.0000","","","0.00000","","9595.03"
"71","2025-06-27 18:00:09 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","66118.00","Sell","","","","","","","","","","","","",""
"72","2025-06-27 18:00:09 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65344","66118.00","Sell","2.3141","","","","","0.00000","0.0000","0.0000","","","0.00000","","9595.03"
